_id,FISCAL_YEAR,CAMPUS,CIP,CIP_DESC,GROUP1,GROUP2,GROUP3,GROUP4,GROUP5,OUTCOME,AWARDS
232,Fiscal Year 2018,UH Manoa,011299,"Soil Sciences, Other",Col of Trop Ag & Human Res,Tropical Ag & Human Res,Tropical Plant & Soil Sci,Tropical Plant & Soil Sciences,,Bachelor's Degrees,7
233,Fiscal Year 2018,Windward CC,240101,Liberal Arts,General & Pre-Prof Ed,Liberal Arts,Liberal Arts,,,Associate Degrees,220
234,Fiscal Year 2018,UH West O`ahu,440401,Public Administration,Professional Studies Division,Public Administration,Health Care Administration,,,Bachelor's Degrees,68
235,Fiscal Year 2018,UH West O`ahu,309999,Interdisciplinary Studies,Professional Studies Division,Applied Science,Comp Electronics&Network Tech,,,Bachelor's Degrees,19
236,Fiscal Year 2018,UH Manoa,010901,Animal Science,Col of Trop Ag & Human Res,Tropical Ag & Human Res,"Hum Nutr, Food & Animal Sci",Animal Sciences,,Master's Degrees,2
237,Fiscal Year 2018,UH Manoa,451001,Political Science/Government,College of Arts & Sciences,Social Sciences,Political Science,,,Doctoral Degrees,11
238,Fiscal Year 2018,UH Hilo,520301,Accounting,Col of Business & Economics,Business & Economics,Accounting,,,Bachelor's Degrees,21
239,Fiscal Year 2018,UH Hilo,110701,Computer Science,College of Arts & Sciences,Natural Sciences,Computer Science,,,Bachelor's Degrees,16
240,Fiscal Year 2018,UH Hilo,451001,Political Science/Government,College of Arts & Sciences,Social Sciences,Political Science,,,Bachelor's Degrees,21
241,Fiscal Year 2018,Hawai`i CC,520401,Adm Asst/Secretarial Science,Career & Tech Ed,Business Education,Business Technology,,,Associate Degrees,7
242,Fiscal Year 2018,Leeward CC,100202,Television Production,Career & Tech Ed,Technology,Television Production,,,Certs of Achievement,10
243,Fiscal Year 2018,UH Manoa,400607,Oceanography,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Oceanography,Oceanography,,Doctoral Degrees,3
244,Fiscal Year 2018,UH Manoa,400501,"Chemistry, General",College of Arts & Sciences,Natural Sciences,Chemistry,Chemistry,,Doctoral Degrees,3
245,Fiscal Year 2018,Windward CC,410101,Biology Technician,Career & Tech Ed,Technology,Agripharmatech,,,Certs of Achievement,20
246,Fiscal Year 2018,Maui College,151202,Electronics & Comp Engin Tech,Career & Tech Ed,Technology,Electronics & Comp Engin Tech,,,Associate Degrees,8
247,Fiscal Year 2018,Maui College,190902,Apparel & Textile Manufacture,Career & Tech Ed,Technology,Fashion Technology,,,Associate Degrees,2
248,Fiscal Year 2018,Leeward CC,110101,"Computer/Info Science, General",Career & Tech Ed,Business Education,Information & Computer Science,,,Certs of Achievement,36
249,Fiscal Year 2018,UH Manoa,230101,"English, General",College of Arts & Sciences,"Lang, Ling & Lit",English,,,Doctoral Degrees,5
250,Fiscal Year 2018,Hawai`i CC,460201,Carpentry,Career & Tech Ed,Technology,Carpentry Technology,,,Associate Degrees,5
251,Fiscal Year 2018,Honolulu CC,470616,Boat Maintenance & Repair,Career & Tech Ed,Technology,Small Vessel Fabrication & Repair,,,Associate Degrees,2
252,Fiscal Year 2018,Honolulu CC,470603,Auto Body Repair & Painting,Career & Tech Ed,Technology,Auto Body Repair & Painting,,,Certs of Achievement,1
