_id,FISCAL_YEAR,CAMPUS,CIP,CIP_DESC,GROUP1,GROUP2,GROUP3,GROUP4,GROUP5,OUTCOME,AWARDS
2155,Fiscal Year 2012,Kaua`i CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Associate Degrees,12
2156,Fiscal Year 2012,Kapi`olani CC,110103,Information Technology,Career & Tech Ed,Business Education,Information Tech,Information Technology,,Associate Degrees,25
2157,Fiscal Year 2012,UH Manoa,250101,Library Studies,College of Arts & Sciences,Natural Sciences,Information & Comp Sci,Library & Information Science,,Master's Degrees,29
2158,Fiscal Year 2012,UH Manoa,451101,Sociology,College of Arts & Sciences,Social Sciences,Sociology,,,Master's Degrees,6
2159,Fiscal Year 2012,Maui College,190902,Apparel & Textile Manufacture,Career & Tech Ed,Technology,Fashion Technology,,,Associate Degrees,5
2160,Fiscal Year 2012,UH Manoa,500501,Drama & Theatre,College of Arts & Sciences,Arts & Humanities,Theater & Dance,Theatre,,Bachelor's Degrees,9
2161,Fiscal Year 2012,UH Manoa,260406,Cell/Cellular & Molecular Biol,College of Arts & Sciences,Natural Sciences,Microbiology,Molecular Cell Biology,,Bachelor's Degrees,2
2162,Fiscal Year 2012,Maui College,520401,Adm Asst/Secretarial Science,Career & Tech Ed,Business Education,Business Tech,Business Technology,,Associate Degrees,25
2163,Fiscal Year 2012,Kapi`olani CC,510801,Medical/Clinical Assistant,Career & Tech Ed,Health Services,Medical Assisting,,,Associate Degrees,8
2164,Fiscal Year 2012,UH Hilo,450201,Anthropology,College of Arts & Sciences,Social Sciences,Anthropology,,,Bachelor's Degrees,16
2165,Fiscal Year 2012,Honolulu CC,110901,Computer Sys Netwrk & Telecom,Career & Tech Ed,Technology,Comp Elec & Net Tech,Comp Electronics&Network Tech,,Associate Degrees,20
2166,Fiscal Year 2012,Hawai`i CC,010301,Agriculture,Career & Tech Ed,Technology,Agriculture,,,Associate Degrees,2
2167,Fiscal Year 2012,UH Hilo,131205,Secondary Education,College of Arts & Sciences,Social Sciences,Education,Secondary Education,,Other,22
2168,Fiscal Year 2012,Kapi`olani CC,520903,Travel Industry Management,Career & Tech Ed,Business Education,Hospitality & Tourism,Travel & Tourism,,Certs of Achievement,10
2169,Fiscal Year 2012,UH Hilo,160102,Linguistics,Ka Haka Ula O Keelikolani,Linguistics,,,,Bachelor's Degrees,6
2170,Fiscal Year 2012,UH Manoa,260502,Microbiology,College of Arts & Sciences,Natural Sciences,Microbiology,Microbiology,,Master's Degrees,3
2171,Fiscal Year 2012,Honolulu CC,190902,Apparel & Textile Manufacture,Career & Tech Ed,Technology,Fashion Technology,,,Associate Degrees,9
2172,Fiscal Year 2012,Hawai`i CC,150303,Electronic Technology,Career & Tech Ed,Technology,Electronics Technology,,,Associate Degrees,1
2173,Fiscal Year 2012,UH Manoa,270101,"Mathematics, General",College of Arts & Sciences,Natural Sciences,Mathematics,,,Doctoral Degrees,1
2174,Fiscal Year 2012,UH Manoa,260406,Cell/Cellular & Molecular Biol,School of Medicine,School of Medicine,Cell & Molecular Biology,,,Doctoral Degrees,3
2175,Fiscal Year 2012,UH Hilo,161001,Am Ind/Nat Am Lang Lit Ling,Ka Haka Ula O Keelikolani,Hawaiian Lang & Lit,Indigenous Lang & Culture Educ,,,Master's Degrees,4
2176,Fiscal Year 2012,UH Manoa,511005,Medical Technology,School of Medicine,School of Medicine,Medical Technology,,,Bachelor's Degrees,2
2177,Fiscal Year 2012,UH Manoa,030201,Natural Resource Mgmt & Policy,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Nat Res & Env Mgt,Natural Res & Environmentl Mgt,,Doctoral Degrees,2
2178,Fiscal Year 2012,Kapi`olani CC,510904,Emergency Medical Services Mgt,Career & Tech Ed,Health Services,Mobile Intens Care Technician,,,Associate Degrees,2
2179,Fiscal Year 2012,Kaua`i CC,513901,Lic Practical/Voc Nurse Trng,Career & Tech Ed,Health Services,Nursing,Practical Nursing,,Certs of Achievement,22
2180,Fiscal Year 2013,UH Manoa,450701,Geography,College of Arts & Sciences,Social Sciences,Geography,Geography,,Master's Degrees,9
2181,Fiscal Year 2013,UH Manoa,451101,Sociology,College of Arts & Sciences,Social Sciences,Sociology,,,Bachelor's Degrees,111
2182,Fiscal Year 2013,UH Manoa,131001,Special Education,College of Education,Education,Inst for Teacher Ed,Elementary Education,Elem Education & Special Educ,Bachelor's Degrees,36
2183,Fiscal Year 2013,UH Manoa,130901,Educational Foundations,College of Education,Education,Ed Foundations,Educational Foundations,,Master's Degrees,28
2184,Fiscal Year 2013,Hawai`i CC,240101,Liberal Arts,General & Pre-Prof Ed,Liberal Arts,Liberal Arts,,,Associate Degrees,231
2185,Fiscal Year 2013,UH Manoa,520301,Accounting,College of Business Admin,Business Administration,School of Accountancy,Accounting,,Master's Degrees,20
2186,Fiscal Year 2013,UH Manoa,301901,Food Science & Human Nutrition,Col of Trop Ag & Human Res,Tropical Ag & Human Res,"Hum Nutr, Food & Animal Sci",Food Science & Human Nutrition,,Bachelor's Degrees,35
2187,Fiscal Year 2013,UH Hilo,010000,"Agriculture, General",College of Agriculture,Agriculture,Agriculture,,,Bachelor's Degrees,31
2188,Fiscal Year 2013,UH Manoa,380201,Religion,College of Arts & Sciences,Arts & Humanities,Religion,Religion (Asian),,Master's Degrees,7
2189,Fiscal Year 2013,UH Manoa,440401,Public Administration,College of Arts & Sciences,Social Sciences,Public Admin,Public Administration,,Master's Degrees,26
2190,Fiscal Year 2013,UH Manoa,160303,Korean,College of Arts & Sciences,"Lang, Ling & Lit",East Asian Lang & Lit,Korean,Korean,Bachelor's Degrees,13
2191,Fiscal Year 2013,UH Manoa,380201,Religion,College of Arts & Sciences,Arts & Humanities,Religion,Religion,,Bachelor's Degrees,10
2192,Fiscal Year 2013,UH Hilo,160102,Linguistics,Ka Haka Ula O Keelikolani,Linguistics,,,,Bachelor's Degrees,11
2193,Fiscal Year 2013,UH West O`ahu,450101,Social Sciences,Social Sciences Division,Social Science,Social Science,,,Bachelor's Degrees,7
2194,Fiscal Year 2013,UH Hilo,230101,"English, General",College of Arts & Sciences,Arts & Humanities,English,,,Bachelor's Degrees,14
2195,Fiscal Year 2013,Kapi`olani CC,521401,Marketing,Career & Tech Ed,Business Education,Marketing,,,Associate Degrees,7
2196,Fiscal Year 2013,UH Manoa,400801,Physics,College of Arts & Sciences,Natural Sciences,Physics & Astronomy,Physics,,Bachelor's Degrees,5
2197,Fiscal Year 2013,Maui College,190902,Apparel & Textile Manufacture,Career & Tech Ed,Technology,Fashion Technology,,,Associate Degrees,4
2198,Fiscal Year 2013,UH Manoa,260406,Cell/Cellular & Molecular Biol,School of Medicine,School of Medicine,Biomed Sci(Cell & Molecular Bio),,,Master's Degrees,1
2199,Fiscal Year 2013,Hawai`i CC,520901,"Hospitality Admin/Mgmt, Ge",Career & Tech Ed,Business Education,Hospitality & Tourism,Hospitality & Tourism,,Associate Degrees,5
2200,Fiscal Year 2013,Maui College,520901,"Hospitality Admin/Mgmt, Ge",Career & Tech Ed,Business Education,Hospitality & Tourism,Hospitality & Tourism,,Certs of Achievement,6
2201,Fiscal Year 2013,Hawai`i CC,513801,Registered Nursing/Reg Nurse,Career & Tech Ed,Health Services,Nursing,Nursing,,Associate Degrees,23
2202,Fiscal Year 2013,Kapi`olani CC,510801,Medical/Clinical Assistant,Career & Tech Ed,Health Services,Medical Assisting,,,Associate Degrees,7
2203,Fiscal Year 2013,Honolulu CC,500999,"Music, Other",Career & Tech Ed,Technology,Music & Entertain Learning Exp,,,Associate Degrees,9
2204,Fiscal Year 2013,Honolulu CC,480508,Welding,Career & Tech Ed,Technology,Welding Technology,,,Certs of Achievement,4
2205,Fiscal Year 2013,UH West O`ahu,240103,Humanities,Humanities Division,Humanities,Hawaiian/Pacific Studies,,,Bachelor's Degrees,3
2206,Fiscal Year 2013,Kaua`i CC,470604,Automotive Mechanics Tech,Career & Tech Ed,Technology,Automotive Mechanics Tech,,,Associate Degrees,4
2207,Fiscal Year 2013,UH Manoa,511005,Medical Technology,School of Medicine,School of Medicine,Medical Technology,,,Bachelor's Degrees,2
2208,Fiscal Year 2013,Honolulu CC,470605,Diesel Mechanics,Career & Tech Ed,Technology,Diesel Mechanics,,,Certs of Achievement,2
2209,Fiscal Year 2013,UH Manoa,140301,Agricultural Engineering,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Molecular Biosci & Bioeng,Biological Engineering,Biological Engineering,Master's Degrees,1
2210,Fiscal Year 2014,UH Manoa,030201,Natural Resource Mgmt & Policy,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Nat Res & Env Mgt,Natural Res & Environmentl Mgt,,Master's Degrees,14
2211,Fiscal Year 2014,UH Manoa,131001,Special Education,College of Education,Education,Special Education,,,Master's Degrees,20
2212,Fiscal Year 2014,UH Manoa,400801,Physics,College of Arts & Sciences,Natural Sciences,Physics & Astronomy,Physics,,Bachelor's Degrees,6
2213,Fiscal Year 2014,Honolulu CC,240101,Liberal Arts,General & Pre-Prof Ed,Liberal Arts,Liberal Arts,,,Associate Degrees,176
2214,Fiscal Year 2014,Kapi`olani CC,510803,Occupational Therapy Assistant,Career & Tech Ed,Health Services,Occupational Therapy Assistant,,,Associate Degrees,13
2215,Fiscal Year 2014,UH Hilo,513801,Registered Nursing/Reg Nurse,College of Arts & Sciences,School of Nursing,Nursing,,,Bachelor's Degrees,41
2216,Fiscal Year 2014,UH Manoa,520903,Travel Industry Management,School of Travel Industry Mgt,Travel Industry Management,Travel Industry Management,,,Master's Degrees,5
2217,Fiscal Year 2014,Hawai`i CC,430107,Administration of Justice,Career & Tech Ed,Public Services,Administration of Justice,,,Associate Degrees,21
2218,Fiscal Year 2014,Hawai`i CC,430203,Fire & Environtl Emerg Resp,Career & Tech Ed,Public Services,Fire Science,,,Associate Degrees,14
2219,Fiscal Year 2014,UH Hilo,450601,Economics,Col of Business & Economics,Business & Economics,Economics,,,Bachelor's Degrees,10
2220,Fiscal Year 2014,Maui College,470604,Automotive Mechanics Tech,Career & Tech Ed,Technology,Automotive Mechanics Tech,,,Associate Degrees,9
2221,Fiscal Year 2014,UH Manoa,380201,Religion,College of Arts & Sciences,Arts & Humanities,Religion,Religion (Asian),,Master's Degrees,3
2222,Fiscal Year 2014,UH Manoa,220101,Law,School of Law,School of Law,Law,,,Other,100
2223,Fiscal Year 2014,Hawai`i CC,470603,Auto Body Repair & Painting,Career & Tech Ed,Technology,Auto Body Repair & Painting,,,Associate Degrees,6
2224,Fiscal Year 2014,UH Manoa,260905,Biomed Sci (Reproductive Biol),School of Medicine,School of Medicine,Developmental & Reprod Biology,,,Master's Degrees,7
2225,Fiscal Year 2014,Kapi`olani CC,310505,Exercise & Sports Science,Career & Tech Ed,Health Services,Exercise and Sport Science,,,Certs of Achievement,2
2226,Fiscal Year 2014,UH Manoa,450201,Anthropology,College of Arts & Sciences,Social Sciences,Anthropology,,,Doctoral Degrees,4
2227,Fiscal Year 2014,UH Manoa,160102,Linguistics,College of Arts & Sciences,"Lang, Ling & Lit",Linguistics,,,Doctoral Degrees,6
2228,Fiscal Year 2014,Kapi`olani CC,110103,Information Technology,Career & Tech Ed,Business Education,Information Tech,Information Technology,,Associate Degrees,18
2229,Fiscal Year 2014,Hawai`i CC,460302,Elec Install & Maint Tech,Career & Tech Ed,Technology,Electrical Install/Maint Tech,,,Associate Degrees,14
2230,Fiscal Year 2014,Hawai`i CC,110103,Information Technology,Career & Tech Ed,Business Education,Information Tech,Information Technology,,Associate Degrees,6
2231,Fiscal Year 2014,UH Manoa,050102,American Studies,College of Arts & Sciences,Arts & Humanities,American Studies,American Studies,,Doctoral Degrees,2
2232,Fiscal Year 2014,UH Manoa,400801,Physics,College of Arts & Sciences,Natural Sciences,Physics & Astronomy,Physics,,Master's Degrees,9
2233,Fiscal Year 2014,Windward CC,510808,Vet/Animal Hlth Tech &Vet Asst,Career & Tech Ed,Health Services,Veterinary Assisting,,,Certs of Achievement,23
2234,Fiscal Year 2014,UH Manoa,160303,Korean,College of Arts & Sciences,"Lang, Ling & Lit",East Asian Lang & Lit,Korean,East Asian Lang & Lit-Korean,Master's Degrees,10
2235,Fiscal Year 2014,Honolulu CC,460302,Elec Install & Maint Tech,Career & Tech Ed,Technology,Electrical Install/Maint Tech,,,Associate Degrees,19
2236,Fiscal Year 2014,Hawai`i CC,430203,Fire & Environtl Emerg Resp,Career & Tech Ed,Public Services,Fire Science,,,Certs of Achievement,6
2237,Fiscal Year 2014,Kaua`i CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Associate Degrees,13
2238,Fiscal Year 2015,Leeward CC,240101,Liberal Arts,General & Pre-Prof Ed,Liberal Arts,Liberal Arts,,,Associate Degrees,644
2239,Fiscal Year 2015,UH Manoa,450601,Economics,College of Arts & Sciences,Social Sciences,Economics,,,Bachelor's Degrees,86
2240,Fiscal Year 2015,UH Manoa,140801,Civil Engineering,College of Engineering,Engineering,Civil Engineering,,,Bachelor's Degrees,96
2241,Fiscal Year 2015,UH Manoa,520301,Accounting,College of Business Admin,Business Administration,School of Accountancy,Accounting,,Bachelor's Degrees,116
2242,Fiscal Year 2015,UH Manoa,130401,Educational Administration,College of Education,Education,Ed Foundations,Professional Education Practice,,Other,24
2243,Fiscal Year 2015,UH Hilo,261302,Marine Biology & Bio Ocean,College of Arts & Sciences,Natural Sciences,Marine Science,,,Bachelor's Degrees,22
2244,Fiscal Year 2015,UH Manoa,160402,Russian,College of Arts & Sciences,"Lang, Ling & Lit",Lang & Lit of Europe & Amer,Russian,Russian,Bachelor's Degrees,5
2245,Fiscal Year 2015,UH Manoa,160102,Linguistics,College of Arts & Sciences,"Lang, Ling & Lit",Linguistics,,,Doctoral Degrees,10
2246,Fiscal Year 2015,UH Hilo,030104,Global Environmental Science,College of Arts & Sciences,Natural Sciences,Trop Conserv Bio & Environ Sci,,,Master's Degrees,19
2247,Fiscal Year 2015,Kapi`olani CC,301801,Natural Science,General & Pre-Prof Ed,Natural Sciences,Natural Science,,,Associate Degrees,58
2248,Fiscal Year 2015,Kapi`olani CC,521401,Marketing,Career & Tech Ed,Business Education,Marketing,,,Associate Degrees,8
2249,Fiscal Year 2015,Windward CC,510808,Vet/Animal Hlth Tech &Vet Asst,Career & Tech Ed,Health Services,Veterinary Assisting,,,Certs of Achievement,38
2250,Fiscal Year 2015,UH West O`ahu,309999,Interdisciplinary Studies,Professional Studies Division,Applied Science,Information Technology,,,Bachelor's Degrees,11
2251,Fiscal Year 2015,UH Manoa,141001,Electrical Engineering,College of Engineering,Engineering,Electrical Engineering,,,Master's Degrees,10
2252,Fiscal Year 2015,UH Manoa,131001,Special Education,College of Education,Education,Inst for Teacher Ed,Elementary Education,Elem Education & Special Educ,Bachelor's Degrees,34
2253,Fiscal Year 2015,Hawai`i CC,520401,Adm Asst/Secretarial Science,Career & Tech Ed,Business Education,Business Technology,,,Certs of Achievement,6
2254,Fiscal Year 2015,UH Manoa,260301,Botany,College of Arts & Sciences,Natural Sciences,Botany Program,Botany,,Bachelor's Degrees,5
2255,Fiscal Year 2015,UH Manoa,260102,Biomedical Science,School of Medicine,School of Medicine,Biomedical Sciences,,,Doctoral Degrees,1
2256,Fiscal Year 2015,Maui College,520301,Accounting,Career & Tech Ed,Business Education,Accounting,,,Certs of Achievement,5
2257,Fiscal Year 2015,Honolulu CC,470608,Aircraft Powerplant Technology,Career & Tech Ed,Technology,Aeronautics Maint Tech,,,Certs of Achievement,8
2258,Fiscal Year 2015,Honolulu CC,470603,Auto Body Repair & Painting,Career & Tech Ed,Technology,Auto Body Repair & Painting,,,Certs of Achievement,2
2259,Fiscal Year 2015,Hawai`i CC,430203,Fire & Environtl Emerg Resp,Career & Tech Ed,Public Services,Fire Science,,,Certs of Achievement,11
2260,Fiscal Year 2015,Kaua`i CC,131210,Early Childhood Education,Career & Tech Ed,Public Services,Early Childhood Education,,,Associate Degrees,4
2261,Fiscal Year 2015,Maui College,430107,Administration of Justice,Career & Tech Ed,Public Services,Administration of Justice,,,Certs of Achievement,5
2262,Fiscal Year 2015,Honolulu CC,460302,Elec Install & Maint Tech,Career & Tech Ed,Technology,Electrical Install/Maint Tech,,,Certs of Achievement,4
2263,Fiscal Year 2015,UH Manoa,131205,Secondary Education,College of Education,Education,Inst for Teacher Ed,Secondary Education,"Sec Education, Japanese",Bachelor's Degrees,2
2264,Fiscal Year 2015,Honolulu CC,110901,Computer Sys Netwrk & Telecom,Career & Tech Ed,Technology,Comp Elec & Net Tech,Comp Electronics & Network Tech,,Other,1
2265,Fiscal Year 2016,UH Hilo,260101,"Biology/Biological Sci, Gen",College of Arts & Sciences,Natural Sciences,Biology,,,Bachelor's Degrees,32
2266,Fiscal Year 2016,UH Manoa,131001,Special Education,College of Education,Education,Inst for Teacher Ed,Elementary Education,Elem Education & Special Educ,Bachelor's Degrees,40
2267,Fiscal Year 2016,UH Manoa,131205,Secondary Education,College of Education,Education,Inst for Teacher Ed,Secondary Education,Secondary Education,Other,25
2268,Fiscal Year 2016,UH Manoa,500701,Art,College of Arts & Sciences,Arts & Humanities,Art,Art,,Bachelor's Degrees,91
2269,Fiscal Year 2016,UH Manoa,140901,"Computer Engineering, General",College of Engineering,Engineering,Computer Engineering,,,Bachelor's Degrees,26
2270,Fiscal Year 2016,Hawai`i CC,470603,Auto Body Repair & Painting,Career & Tech Ed,Technology,Auto Body Repair & Painting,,,Associate Degrees,6
2271,Fiscal Year 2016,UH Manoa,131205,Secondary Education,College of Education,Education,Inst for Teacher Ed,Secondary Education,"Sec Education, English",Bachelor's Degrees,7
2272,Fiscal Year 2016,Kaua`i CC,513801,Registered Nursing/Reg Nurse,Career & Tech Ed,Health Services,Nursing,Nursing,,Associate Degrees,23
2273,Fiscal Year 2016,Honolulu CC,500999,"Music, Other",Career & Tech Ed,Technology,Music & Entertain Learning Exp,,,Associate Degrees,14
2274,Fiscal Year 2016,UH Manoa,380101,Philosophy,College of Arts & Sciences,Arts & Humanities,Philosophy,,,Doctoral Degrees,5
2275,Fiscal Year 2016,UH Manoa,400607,Oceanography,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Oceanography,Oceanography,,Doctoral Degrees,8
2276,Fiscal Year 2016,Honolulu CC,460412,Bldg/Construction SiteMgmt/Mgr,Career & Tech Ed,Technology,Construction Management,,,Certs of Achievement,10
2277,Fiscal Year 2016,Kaua`i CC,301801,Natural Science,General & Pre-Prof Ed,Natural Sciences,Natural Science,,,Associate Degrees,2
2278,Fiscal Year 2016,Leeward CC,520301,Accounting,Career & Tech Ed,Business Education,Accounting,Accounting,,Associate Degrees,28
2279,Fiscal Year 2016,Leeward CC,470617,High Perfrm&Cstm EngTech/Mech,Career & Tech Ed,Technology,Automotive Tech,Automotive Mechanics Tech; Automotive Technology,,Certs of Achievement,32
2280,Fiscal Year 2016,Maui College,520901,"Hospitality Admin/Mgmt, Ge",Career & Tech Ed,Business Education,Hospitality & Tourism,Hospitality & Tourism,,Certs of Achievement,1
2281,Fiscal Year 2016,Kaua`i CC,520901,"Hospitality Admin/Mgmt, Ge",Career & Tech Ed,Business Education,Hospitality & Tourism,Hospitality & Tourism,,Associate Degrees,8
2282,Fiscal Year 2016,UH Manoa,010901,Animal Science,Col of Trop Ag & Human Res,Tropical Ag & Human Res,"Hum Nutr, Food & Animal Sci",Animal Sciences,,Bachelor's Degrees,24
2283,Fiscal Year 2016,UH Manoa,141901,Mechanical Engineering,College of Engineering,Engineering,Mechanical Engineering,,,Doctoral Degrees,3
2284,Fiscal Year 2016,Hawai`i CC,030599,Trop Forest Eco Mgmt & Agrofor,Career & Tech Ed,Technology,Trop Forest Ecosys & Agrof Mgt,,,Certs of Achievement,6
2285,Fiscal Year 2016,UH Manoa,011299,"Soil Sciences, Other",Col of Trop Ag & Human Res,Tropical Ag & Human Res,Tropical Plant & Soil Sci,Tropical Plant & Soil Sciences,,Doctoral Degrees,2
2286,Fiscal Year 2016,UH Manoa,450601,Economics,College of Arts & Sciences,Social Sciences,Economics,,,Doctoral Degrees,8
2287,Fiscal Year 2016,UH Manoa,050109,Pacific Islands Studies,Schl of Pacific & Asian Studies,Pacific & Asian Studies,Pacific Studies,Pacific Islands Studies,,Bachelor's Degrees,4
2288,Fiscal Year 2016,Maui College,440000,Adult Services,Career & Tech Ed,Public Services,Human Services,,,Certs of Achievement,7
2289,Fiscal Year 2016,UH Manoa,440701,Social Work,School of Social Work,School of Social Work,Social Welfare,,,Doctoral Degrees,3
2290,Fiscal Year 2016,Hawai`i CC,470605,Diesel Mechanics,Career & Tech Ed,Technology,Diesel Mechanics,,,Certs of Achievement,20
2291,Fiscal Year 2016,UH Manoa,260502,Microbiology,College of Arts & Sciences,Natural Sciences,Microbiology,Microbiology,,Master's Degrees,2
2292,Fiscal Year 2016,Kapi`olani CC,510801,Medical/Clinical Assistant,Career & Tech Ed,Health Services,Medical Assisting,,,Associate Degrees,14
2293,Fiscal Year 2016,Hawai`i CC,480508,Welding,Career & Tech Ed,Technology,"Mach, Weld & Ind Mech Tech","Mach, Welding & Ind Mech Tech",,Certs of Achievement,3
2294,Fiscal Year 2016,Maui College,131210,Early Childhood Education,Career & Tech Ed,Public Services,Early Childhood Education,,,Certs of Achievement,1
2295,Fiscal Year 2017,UH Hilo,090101,Speech Communicatn & Rhetoric,College of Arts & Sciences,Arts & Humanities,Communication,Communication,,Bachelor's Degrees,58
2296,Fiscal Year 2017,UH Hilo,030104,Global Environmental Science,College of Arts & Sciences,Social Sciences,Environmental Science,,,Bachelor's Degrees,14
2297,Fiscal Year 2017,UH West O`ahu,450101,Social Sciences,Social Sciences Division,Social Science,Sociology,,,Bachelor's Degrees,14
2298,Fiscal Year 2017,Hawai`i CC,470605,Diesel Mechanics,Career & Tech Ed,Technology,Diesel Mechanics,,,Certs of Achievement,2
2299,Fiscal Year 2017,UH Hilo,380101,Philosophy,College of Arts & Sciences,Arts & Humanities,Philosophy,,,Bachelor's Degrees,11
2300,Fiscal Year 2017,UH Hilo,261302,Marine Biology & Bio Ocean,College of Arts & Sciences,Natural Sciences,Marine Science,,,Bachelor's Degrees,53
2301,Fiscal Year 2017,UH Manoa,260202,Biochemistry,College of Arts & Sciences,Natural Sciences,Chemistry,Biochemistry,,Bachelor's Degrees,28
2302,Fiscal Year 2017,UH Manoa,230101,"English, General",College of Arts & Sciences,"Lang, Ling & Lit",English,,,Bachelor's Degrees,75
2303,Fiscal Year 2017,UH Manoa,050103,Asian Studies,Schl of Pacific & Asian Studies,Pacific & Asian Studies,Asian Studies,Asian Studies,,Bachelor's Degrees,11
2304,Fiscal Year 2017,Honolulu CC,110901,Computer Sys Netwrk & Telecom,Career & Tech Ed,Technology,Comp Elec & Net Tech,Comp Electronics & Network Tech,,Associate Degrees,53
2305,Fiscal Year 2017,Maui College,151202,Electronics & Comp Engin Tech,Career & Tech Ed,Technology,Electronics & Comp Engin Tech,,,Certs of Achievement,13
2306,Fiscal Year 2017,Honolulu CC,460000,"Construction Trades, General",Career & Tech Ed,Technology,Applied Trades,,,Associate Degrees,273
2307,Fiscal Year 2017,Kapi`olani CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Associate Degrees,84
2308,Fiscal Year 2017,UH Manoa,380101,Philosophy,College of Arts & Sciences,Arts & Humanities,Philosophy,,,Bachelor's Degrees,10
2309,Fiscal Year 2017,Maui College,470617,High Perfrm&Cstm EngTech/Mech,Career & Tech Ed,Technology,Automotive Mechanics Tech,,,Certs of Achievement,14
2310,Fiscal Year 2017,Maui College,520301,Accounting,Career & Tech Ed,Business Education,Accounting,,,Associate Degrees,15
2311,Fiscal Year 2017,UH Manoa,400607,Oceanography,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Oceanography,Oceanography,,Master's Degrees,7
2312,Fiscal Year 2017,UH Manoa,040201,Architecture,School of Architecture,School of Architecture,Architecture,,,Other,24
2313,Fiscal Year 2017,UH Hilo,540101,History,College of Arts & Sciences,Social Sciences,History,,,Bachelor's Degrees,7
2314,Fiscal Year 2017,UH Manoa,310505,Exercise & Sports Science,College of Education,Education,Kinesiology & Rehab Sci,Kinesiology & Rehab Sci,,Master's Degrees,23
2315,Fiscal Year 2017,UH Hilo,512001,Pharmacy,College of Pharmacy,Pharmacy,Pharmacy,,,Other,78
2316,Fiscal Year 2017,Maui College,430107,Administration of Justice,Career & Tech Ed,Public Services,Administration of Justice,,,Associate Degrees,7
2317,Fiscal Year 2017,UH Manoa,140801,Civil Engineering,College of Engineering,Engineering,Civil Engineering,,,Doctoral Degrees,2
2318,Fiscal Year 2017,Honolulu CC,460412,Bldg/Construction SiteMgmt/Mgr,Career & Tech Ed,Technology,Construction Management,,,Associate Degrees,10
2319,Fiscal Year 2017,Kapi`olani CC,510908,Respiratory Care,Career & Tech Ed,Health Services,Respiratory Care,,,Associate Degrees,15
2320,Fiscal Year 2017,Kaua`i CC,470603,Auto Body Repair & Painting,Career & Tech Ed,Technology,Auto Body Repair & Painting,,,Associate Degrees,1
2321,Fiscal Year 2017,Honolulu CC,190902,Apparel & Textile Manufacture,Career & Tech Ed,Technology,Fashion Technology,,,Associate Degrees,9
2322,Fiscal Year 2017,Honolulu CC,190902,Apparel & Textile Manufacture,Career & Tech Ed,Technology,Fashion Technology,,,Certs of Achievement,12
2323,Fiscal Year 2017,Kaua`i CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Associate Degrees,9
2324,Fiscal Year 2017,Kaua`i CC,470617,High Perfrm&Cstm EngTech/Mech,Career & Tech Ed,Technology,Automotive Mechanics Tech,,,Associate Degrees,3
2325,Fiscal Year 2018,UH Hilo,260101,"Biology/Biological Sci, Gen",College of Arts & Sciences,Natural Sciences,Biology,,,Bachelor's Degrees,40
2326,Fiscal Year 2018,Kapi`olani CC,510908,Respiratory Care,Career & Tech Ed,Health Services,Respiratory Care,,,Associate Degrees,13
2327,Fiscal Year 2018,UH Hilo,422803,Counseling Psychology,College of Arts & Sciences,Social Sciences,Psychology,Counseling Psychology,,Master's Degrees,11
2328,Fiscal Year 2018,UH Manoa,090101,Speech Communicatn & Rhetoric,College of Arts & Sciences,Arts & Humanities,Communicology,,,Master's Degrees,4
2329,Fiscal Year 2018,Windward CC,050202,American Indian/Native Studies,General & Pre-Prof Ed,Hawaiian Studies,,,,Associate Degrees,22
2330,Fiscal Year 2018,UH Manoa,520801,Finance,College of Business Admin,Business Administration,Finance,,,Bachelor's Degrees,120
2331,Fiscal Year 2018,Leeward CC,470617,High Perfrm&Cstm EngTech/Mech,Career & Tech Ed,Technology,Automotive Tech,Automotive Mechanics Tech; Automotive Technology,,Associate Degrees,30
2332,Fiscal Year 2018,UH Hilo,500901,"Music, General",College of Arts & Sciences,Arts & Humanities,Performing Arts,Performing Arts,,Bachelor's Degrees,9
2333,Fiscal Year 2018,UH Manoa,500901,"Music, General",College of Arts & Sciences,Arts & Humanities,Music,,,Master's Degrees,6
2334,Fiscal Year 2018,UH Manoa,260503,Medical Micro & Bacteriology,School of Medicine,School of Medicine,Biomed Sci (Tropical Medicine),,,Doctoral Degrees,3
2335,Fiscal Year 2018,Honolulu CC,460201,Carpentry,Career & Tech Ed,Technology,Carpentry Technology,,,Certs of Achievement,53
2336,Fiscal Year 2018,Kapi`olani CC,510601,Dental Assisting,Career & Tech Ed,Health Services,Dental Assisting,,,Certs of Achievement,2
2337,Fiscal Year 2018,UH Manoa,521001,Human Resource Management,College of Business Admin,Business Administration,Mgt & Industrial Rel,Human Resource Management,,Master's Degrees,57
2338,Fiscal Year 2018,UH Manoa,301901,Food Science & Human Nutrition,Col of Trop Ag & Human Res,Tropical Ag & Human Res,"Hum Nutr, Food & Animal Sci",Nutritional Sciences,,Master's Degrees,1
